source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/lena-borislavova-nyama-da-e-v-listite-na-pp-db-za-izborite-obnovena-news379427.html,Лена Бориславова няма да е в листите на ПП-ДБ за изборите (Обновена),2026-01-21 13:36:16,,18,"Умно и хубаво момиче, а се забъркало с такива смешни типове, като тези от ПП...",keen,21.01.2026 (ср) 17:21:33,8,21,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/lena-borislavova-nyama-da-e-v-listite-na-pp-db-za-izborite-obnovena-news379427.html,Лена Бориславова няма да е в листите на ПП-ДБ за изборите (Обновена),2026-01-21 13:36:16,,17,Т'ва Лена общата ли е? ;),Мазен Кумунис,21.01.2026 (ср) 16:46:20,6,23,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/lena-borislavova-nyama-da-e-v-listite-na-pp-db-za-izborite-obnovena-news379427.html,Лена Бориславова няма да е в листите на ПП-ДБ за изборите (Обновена),2026-01-21 13:36:16,,16,Минеш ли 35 трябва да се оттеглиш от професията. Разбирате коя професия имам впредвид.,DG,21.01.2026 (ср) 16:10:45,3,25,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/lena-borislavova-nyama-da-e-v-listite-na-pp-db-za-izborite-obnovena-news379427.html,Лена Бориславова няма да е в листите на ПП-ДБ за изборите (Обновена),2026-01-21 13:36:16,,15,"Да Ви кажа една "" тайна"" за майчинството ( не се заяждам). На 20 дена новороденото основно спи и се нуждае от храна в определени часове. :) Истинският "" ужас"" настъпва, когато човечето проходи. Тогава наистина се нуждае от непрекъснато внимание.",valentinа паumova,21.01.2026 (ср) 16:06:19,20,5,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/lena-borislavova-nyama-da-e-v-listite-na-pp-db-za-izborite-obnovena-news379427.html,Лена Бориславова няма да е в листите на ПП-ДБ за изборите (Обновена),2026-01-21 13:36:16,,14,"Г-жо valentinа паumova , не сте вникнала добре в контекста. Коментарите за самолетите и кой летял-кой не нямат за цел самоизтъкване /нямам никаква нужда от това/, а в отговор на направен коментар преди това. Прочетете го преди да коментирате, ако се интересувате. Апропо, важността на професионалната реализация на една жена е вън от всякакво съмнение, но не ми се вижда нормално Бориславова или която и да е друга жена да зареже новороденото си и да хукне на 20-тия ден обратно в парламента, за да не би демокрацията да … Прочети целия коментар",ninevia,21.01.2026 (ср) 15:51:15,5,22,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,9,"Това с КС не е ли буря в чаша вода? И да се окаже буря, която евентуално да налее още някой % в полза на г-н Боташ?",Milenca,20.01.2026 (вт) 6:58:57,3,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,8,Очевидно НАТИСКА е от Москва! Като не можаха да провалят еврозоната сега това е последната капия на Кремъл!,полк. Дрангов,20.01.2026 (вт) 2:14:21,3,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,7,Очевидно НАТИСКА е от Москва! Като не можаха да провалят еврозоната сега това е последната капия на Кремъл!,полк. Дрангов,20.01.2026 (вт) 2:14:20,3,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,6,"Някои много ги е страх Атанасова или Колев да не са докладчици, защото те със сигурност не понасят мунчо.Говорят за ""рискове"",загрижени да не би мунчо да се издъни.Освен тях обаче Шиши има още съдии.",мунчо в затвора!,19.01.2026 (пн) 21:15:07,5,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,5,"Нищо подобно.За да приемат оставката, трябват 7 гласа, а мунчо ги няма.Случаят с Блага Димитрова е съвсем различен.Целта на у*рода мунчо е да заграби властта и съдиите го знаят.",мунчо в затвора!,19.01.2026 (пн) 21:11:44,5,1,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,4,"КС може да екзекутира мераците на мунчо да стане диктатор, защото мунчо има само 4 човека, а за другите това ще е нарушение на президентската клетва и Шиши вече се е погрижил по въпроса.мунчо вече беше заклан с домовата книга, когато получи 6 гласа,и сега ще стане същото.",мунчо в затвора!,19.01.2026 (пн) 21:08:12,6,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,3,"А не трябва ли и през бай Ставри? Че там една далаверка с един БОТАШ струва ката ден на хората в България по едни 1,080,000.",ПyтлЭр Xyйло,19.01.2026 (пн) 20:55:13,15,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,2,Конституционният съд ще се произнесе бързо - не по късно от 26-27 януари. А може още и на 23-ти.,Един препатил,19.01.2026 (пн) 20:06:50,5,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/predi-izborite-radev-parvo-tryabva-da-mine-prez-konstitutsionniya-sad-news379360.html,Преди изборите Радев първо трябва да мине през Конституционния съд,2026-01-19 19:14:13,,1,"В случая решението на радев определено следва че е взето ""под натиск"", защото е взето от неговите началници в кремъл. Следователно са налице също ""заплаха"", и/или ""измама"". Началниците на радев обаче допуснаха грешка, като преди да го освободят от президенския пост допълнително го дискредитираха със задачата да провали влизането ни в Еврозоната. Надявам се бързо да го пуснат в политиката, за да си дойдат нещата на мястото. Един като него (Първанов) вече се опита, но партията му изсъхна и никаква я няма. И с тоя ще е подобно.",Blagoj,19.01.2026 (пн) 19:46:16,10,0,2026-06-12 00:00:24
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/mozhem-i-shte-uspeem-rumen-radev-podava-ostavka-kato-prezident-pred-ks-iliyana-yotova-shte-go-zamesti-news379330.html,"""Можем и ще успеем"". Румен Радев подава оставка като президент пред КС, Илияна Йотова ще го замести",2026-01-19 19:01:08,,243,"абе май цял месец ше изкара по инерция... (с привилегии, охрани и имунитети...) - така било по Конституция... ... ... НО! - ще има все пак и 2 месеца без имунитет - след президенстването и преди регистрацията като мерак-депутат...",Bлaдo,21.01.2026 (ср) 16:15:28,1,0,2026-06-12 00:00:35
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/mozhem-i-shte-uspeem-rumen-radev-podava-ostavka-kato-prezident-pred-ks-iliyana-yotova-shte-go-zamesti-news379330.html,"""Можем и ще успеем"". Румен Радев подава оставка като президент пред КС, Илияна Йотова ще го замести",2026-01-19 19:01:08,,242,"Веднага щом КС приеме оставката на рундю. ПП-тролещите идЭоти и да пожелавате успех, първо ще има малко пандиз, кочериновския спас ""от Испания"" може да каже повече.",ПyтлЭр Xyйло,20.01.2026 (вт) 21:22:32,8,1,2026-06-12 00:00:35
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/mozhem-i-shte-uspeem-rumen-radev-podava-ostavka-kato-prezident-pred-ks-iliyana-yotova-shte-go-zamesti-news379330.html,"""Можем и ще успеем"". Румен Радев подава оставка като президент пред КС, Илияна Йотова ще го замести",2026-01-19 19:01:08,,241,"... та откога, викате, лицето радев ще е без имунитет...? ;-)",Bлaдo,20.01.2026 (вт) 14:48:35,5,1,2026-06-12 00:00:35
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/mozhem-i-shte-uspeem-rumen-radev-podava-ostavka-kato-prezident-pred-ks-iliyana-yotova-shte-go-zamesti-news379330.html,"""Можем и ще успеем"". Румен Радев подава оставка като президент пред КС, Илияна Йотова ще го замести",2026-01-19 19:01:08,,240,Изпуснаха си цялата гнясс .. Хахах тресе се кочинатааа !! Браво на Президента!!,Божанков,20.01.2026 (вт) 13:58:27,1,6,2026-06-12 00:00:35
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/mozhem-i-shte-uspeem-rumen-radev-podava-ostavka-kato-prezident-pred-ks-iliyana-yotova-shte-go-zamesti-news379330.html,"""Можем и ще успеем"". Румен Радев подава оставка като президент пред КС, Илияна Йотова ще го замести",2026-01-19 19:01:08,,239,"... може и да е случайно съвпадение...., но и ВВС-то ни даде признаци на живот баш в деня, в който дважди дЭZЭртьорът от ВВС радев ... дезертира трети път - този път от Президентството... ;-)))",Bлaдo,20.01.2026 (вт) 12:07:26,4,2,2026-06-12 00:00:35
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/rosen-zhelyazkov-vednaga-varna-neizpalnen-parviya-mandat-news379110.html,Росен Желязков веднага върна неизпълнен първия мандат,2026-01-12 10:15:00,,27,"Бойчето: Подписването на договор с Украйна е като да си купиш фабрика на 9 септември. Борисов за договора с “Боташ”: Това е печатница за пари за българите: ""И тогава Украйна ще може да взима от България. Унгария може да взима от България и да връща на Полша, включително. Австрия, Сърбия, Македония. Ние имаме най-добрата инфраструктура. 80% от компресорите на целите Балкани са в ""Балкански поток"", в България. Това е печатница за пари за българите""",nikolson,12.01.2026 (пн) 15:46:36,7,4,2026-06-12 00:00:46
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/rosen-zhelyazkov-vednaga-varna-neizpalnen-parviya-mandat-news379110.html,Росен Желязков веднага върна неизпълнен първия мандат,2026-01-12 10:15:00,,26,"Разцункаха ли се накрая? бх пак се прай на срамежлив големец/аристократ. Банкялии плащат ли редовно данъка? Ко са сербрз. ше мъ;чат, няма охкат. Кат едни горди правчани ша чакат пак да им изгрее звездата. Ма няма изгледи.",dabedabe,12.01.2026 (пн) 15:29:50,0,5,2026-06-12 00:00:46
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html?page=13,https://www.mediapool.bg/rosen-zhelyazkov-vednaga-varna-neizpalnen-parviya-mandat-news379110.html,Росен Желязков веднага върна неизпълнен първия мандат,2026-01-12 10:15:00,,25,"""....желаеща да заграби съществуващите корупционни канали...."" ...... Значи България е разядена от корупционните канали на Буци и Шиши, но те няма да позволят на друг да ги заграби. ХвалА за тоз открит урок по политпросвета, който ни изнасяш днес!",Един препатил,12.01.2026 (пн) 14:12:11,6,2,2026-06-12 00:00:46
