source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,3,"Асен Василев вдигна пенсиите на хората, а Бойко им подмяташе по 50 лв от джипката. Коментиран от #51",Оня с Фалконя,10.04.2026 14:46,29,39,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,4,"Ааа, Асенка, прав си, че проблемът с цените и доходите става голям, ама ти си съставна част от него и можеш да допринесеш за решаването му, само ако се изметеш на момента",Гейчо Василев,10.04.2026 14:47,45,16,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,5,"То е ясно , че доходите МОГАТ да се вдигнат и да се прекъсне СПЕКУЛАТА ! Въпросът е : ЩЕ ГО НАПРАВИТЕ ЛИ ?",Факти,10.04.2026 14:47,32,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,6,Защото е сигурно че на него такъв му липсва,Този само в мъжките големи пакети гледа,10.04.2026 14:48,26,13,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,7,"Ако някой ви излъже веднъж - срамът е за него, ако същият човек ви излъже втори път по един и същи начин - срамът е за вас... Мислете преди да гласувате!",Мда,10.04.2026 14:49,41,9,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,8,Скапан измамник марш в затвора гад,ГЕРБ,10.04.2026 14:49,26,18,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,9,"Точно пък ти не го вдигаш, девойко !",007 /агент/,10.04.2026 14:50,28,10,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,10,"Всичко е наред в България, няма инфлация, можем да изпращаме млн. евраци на бандерите и язовците.",Кухоглава шекелка,10.04.2026 14:51,21,17,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,12,Напред и навътре с ППДБ-ЛГБТ. Коментиран от #18,Розовото пони Денкоф 🌈🦄,10.04.2026 14:52,27,15,2026-04-11 17:24:00
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047497-asen-vasilev-v-pleven-mojem-da-vdignem-dohodite-i-da-ovladeem-cenite-s-golam-antikrizisen-paket,Асен Василев в Плевен: Можем да вдигнем доходите и да овладеем цените с голям антикризисен пакет,вчера в 14:41 ч.,1 536,13,имаш ли нещо за вдигане или и то е ампутирано като мозъка ти.Хасковски бек.,Аве Госпожа,10.04.2026 14:53,32,13,2026-04-11 17:24:00
